recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
140187587,"{'steamid': '76561198351846962', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 72714, 'playtime_last_two_weeks': 0, 'playtime_at_review': 71979, 'last_played': 1687994118}",english,great game,1686962384,1686962384,True,0,0,0,0,True,False,False,True,
140184554,"{'steamid': '76561197966658743', 'num_games_owned': 0, 'num_reviews': 25, 'playtime_forever': 1641, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1319, 'last_played': 1703351959}",english,"If it wasn't for the fact that the AI blatantly cheats, I would recommend this game. All Civ games the AI's blatantly cheat. The rules are set up for humans to have to abide but the AI's don't .. SUCKS!!! Anybody who says otherwise doesn't know how to pay attention to detail.",1686957074,1686957074,False,0,0,0,0,False,False,False,True,
139490122,"{'steamid': '76561197965066413', 'num_games_owned': 671, 'num_reviews': 684, 'playtime_forever': 133, 'playtime_last_two_weeks': 0, 'playtime_at_review': 133, 'last_played': 1433019926}",english,"Expansion pack for Civ 4, back when video games did that.  It's more Civ4.",1685811241,1685811241,True,0,0,0,0,True,False,False,True,
139194439,"{'steamid': '76561198287929533', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 49908, 'playtime_last_two_weeks': 106, 'playtime_at_review': 47475, 'last_played': 1710297236}",english,gud gam,1685335894,1685335894,True,0,0,0,0,True,False,False,True,
138643011,"{'steamid': '76561199105292405', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 142069, 'playtime_last_two_weeks': 329, 'playtime_at_review': 64123, 'last_played': 1710134071}",english,Still the best Civ game so far.,1684618201,1684618201,True,0,0,0,0,False,False,False,True,
137916941,"{'steamid': '76561199350733909', 'num_games_owned': 0, 'num_reviews': 8, 'playtime_forever': 203, 'playtime_last_two_weeks': 0, 'playtime_at_review': 203, 'last_played': 1683423683}",english,"Great game, would recommend all Civ IV games very much.",1683423717,1683423717,True,0,0,0,0,True,False,False,True,
137448445,"{'steamid': '76561198128038332', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 21280, 'playtime_last_two_weeks': 0, 'playtime_at_review': 20066, 'last_played': 1684537316}",english,I started with Civ 2. I've played later versions but civ 4 is by far the best.,1682722773,1682722773,True,0,0,0,0,True,False,False,True,
137157912,"{'steamid': '76561199032578203', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 7793, 'playtime_last_two_weeks': 0, 'playtime_at_review': 5954, 'last_played': 1682778158}",schinese,带你回顾那些历史时刻中伟大人物的纵横捭阖。但是高难度下的winning odds和电脑作弊（兵临城下时突然生产出防守单位）实在是让人恼火。,1682235748,1682235748,True,0,0,0,0,True,False,False,True,
137132718,"{'steamid': '76561198958874504', 'num_games_owned': 0, 'num_reviews': 31, 'playtime_forever': 270, 'playtime_last_two_weeks': 0, 'playtime_at_review': 209, 'last_played': 1682234139}",english,banger,1682194699,1682194699,True,2,0,0.545454561710357666,0,False,False,False,True,
136940739,"{'steamid': '76561199144438591', 'num_games_owned': 0, 'num_reviews': 32, 'playtime_forever': 483, 'playtime_last_two_weeks': 0, 'playtime_at_review': 186, 'last_played': 1686370019}",english,First Campaign Mission Expansion Two,1681877141,1681877141,True,1,0,0.523809552192687988,0,True,True,False,True,
136605106,"{'steamid': '76561198034747507', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 21550, 'playtime_last_two_weeks': 0, 'playtime_at_review': 19951, 'last_played': 1709018704}",french,"bon jeux stratégique ...
",1681350280,1681350280,True,1,0,0.525862038135528564,0,True,False,False,True,
